Ticker
NVDA
AAPL
MSFT
AMZN
GOOGL
GOOG
AVGO
META
TSLA
BRK.B
WMT
LLY
JPM
V
ORCL
XOM
JNJ
MA
COST
MU
PLTR
BAC
ABBV
HD
AMD
NFLX
GE
PG
CVX
KO
CAT
UNH
MS
CSCO
GS
IBM
LRCX
WFC
RTX
PM
MRK
AMAT
AXP
TMO
INTC
MCD
CRM
ABT
TMUS
C
